item,unit,budget,jan,feb,march,april,may,june,july,aug,sep,oct,nov,dec,price
ANTIBIOTIC,bottle,,,,,,,,,,,,,,700.00
"BAG, polyethelene, assorted, for potting","kilo ",,,,,,,,,,,,,,250.00
"CHICK, day old, broiler","head ",,,,,,,,,,,,,,50.00
"CONTAINER, drum","unit ",,,,,,,,,,,,,,"1,500"
CYMBUSH,"liter ",,,,,,,,,,,,,,500.00
DEWORMER,"bottle ",,,,,,,,,,,,,,"1,000"
EMPTY SACK,"piece ",,,,,,,,,,,,,,15.00
FEED SUPPLEMENTS & MEDICAMENTS,"lot ",,,,,,,,,,,,,,"2,000.00"
"FEED, BAGASO","sack ",,,,,,,,,,,,,,400.00
"FEED, Finisher Mash","sack ",,,,,,,,,,,,,,"1,400.00"
"FEED, Fish Food",bag,,,,,,,,,,,,,,"2,200.00"
"FEED, Grower Mash",bag,,,,,,,,,,,,,,"2,000.00"
"FEED, Hog Gestating",bag,,,,,,,,,,,,,,"1,300.00"
"FEED, Hog Grower",bag,,,,,,,,,,,,,,"1,500.00"
"FEED, Hog Lactating",bag,,,,,,,,,,,,,,"1,700.00"
"FEED, Hog Starter",bag,,,,,,,,,,,,,,"1,700.00"
"FEED, Layer Mash",bag,,,,,,,,,,,,,,"1,600.00"
"FEED, Pelleted based",bag,,,,,,,,,,,,,,500.00
"FEED, Protein based",bag,,,,,,,,,,,,,,"1,600.00"
"FEED, Starter Mash","sack ",,,,,,,,,,,,,,"1,700.00"
"FERTILIZER, Complete (14-14-14)","bag ",,,,,,,,,,,,,,"1,300.00"
"FERTILIZER, Urea (46-0-0)","bag ",,,,,,,,,,,,,,"1,300.00"
GARDEN HOSE,"meter ",,,,,,,,,,,,,,15.00
GARDEN SOIL,"cu.m. ",,,,,,,,,,,,,,700.00
IRON,"bottle ",,,,,,,,,,,,,,500.00
KARATE,"liter ",,,,,,,,,,,,,,"1,300.00"
MOLASSES,"gallon ",,,,,,,,,,,,,,700.00
NYLON,"kilo ",,,,,,,,,,,,,,400.00
PESTICIDE,"liter ",,,,,,,,,,,,,,"2,100.00"
"PULLET, ready to lay","head ",,,,,,,,,,,,,,500.00
ROCK SALT,"block ",,,,,,,,,,,,,,400.00
"SEED, Assorted","pack ",,,,,,,,,,,,,,100.00
"SEED, Certified","kilo ",,,,,,,,,,,,,,"2,400.00"
"STOCKS, Tilapia fry","fry ",,,,,,,,,,,,,,1.00
SUPPLEMENTS & MEDICAMENTS,"lot ",,,,,,,,,,,,,,"1,600.00"
VITAMINS,bottle,,,,,,,,,,,,,,800.00
