item,unit,budget,jan,feb,march,april,may,june,july,aug,sep,oct,nov,dec,price,
"Air Conditioning Unit, Split Type, with Installation, 3HP",unit,,,,,,,,,,,,,,,
"Air Conditioning Unit, Window Inverter Type, 3HP",unit,,,,0,0,0,0,0,0,0,0,0,0,,
"BALLAST, electronic, 20 watts",piece,,,,,,,,,,,,,,,
"BALLAST, electronic, 40 watts",piece,,,,,,,,,,,,,,600,
"BULB, ESL, U-bulb, 18 watts",box,,,,,,,,,,,,,,700,
EMERGENCY LIGHT LED,unit,,,,,,,,,,,,,,300,
"EXTENSION WIRE, 3 gang, 10m wire, heavy duty",set,,,,,,,,,,,,,,2500,
"EXTENSION WIRE, 4 gang, 10m wire, heavy duty",set,,,,,,,,,,,,,,1000,
"FLASHLIGHT, cs-5671 LED Rechargeable Emergency Lamp, 100,000 hour Life Span, 4000mah rechargeable battery, used in patrol, camping, hiking, etc�",unit,,,,,,,,,,,,,,1000,
FLUORESCENT HOLDER,piece,,,,,,,,,,,,,,1500,
box,box,,,,,,,,,,,,,,100,
"FLUORESCENT TUBE, 20 watts",box,,,,,,,,,,,,,,300,
"FLUORESCENT TUBE, 40 watts",box,,,,,,,,,,,,,,200,
"FUSE, 200 ampere",piece,,,,,,,,,,,,,,250,
"FUSE, 400 ampere (knife)",piece,,,,,,,,,,,,,,650,
"FUSE, 400 ampere",piece,,,,,,,,,,,,,,850,
"FUSE, 400 ampere (knife)",piece,,,,,,,,,,,,,,700,
"MAGNETIC CONTRACTOR, 90 amp",piece,,,,,,,,,,,,,,900,
"SOLDERING LEAD, 0.3mm Dia",roll,,,,,,,,,,,,,,1500,
"TAPE, electrical, 24mm, 50m",roll,,,,,,,,,,,,,,1600,
THHN #10 (stranded),box,,,,,,,,,,,,,,150,
THHN #12 (stranded),box,,,,,,,,,,,,,,7,500
"WIRE, duplex, # 16",spool,,,,,,,,,,,,,,6000,
"WIRE, duplex, # 18",spool,,,,,,,,,,,,,,4500,
Auto Battery,,,,,,,,,,,,,,,5500,
