item,unit,budget,jan,feb,march,april,may,june,july,aug,sep,oct,nov,dec,price
"AIR FRESHENER, liquid",gallon,,,,,,,,,,,,,,350
"CONDITIONER, Fabric, 900ml","bottle ",,,,,,,,,,,,,,450
"FACE MASK, Disposable, Anti Dust/Pollution Mouth & Nose, 3 ply, 50pcs/boxbox",box,,,,,,,,,,,,,,250
"FLOOR WAX, liquid type, ",can,,,,,,,,,,,,,,300
"FLOOR WAX, Paste",box,,,,,,,,,,,,,,150
"GLASS CLEANER, 320mL",bottle,,,,,,,,,,,,,,150
GLASS WIPER,piece,,,,,,,,,,,,,,200
"MOP set, head and handle",set,,,,,,,,,,,,,,250
"MOP HEAD, Universal Mop Head Refill Rotating Spin Mops Microfibers Round 16mm Mopping Head Microfiber",piece,,,,,,,,,,,,,,100
"MOPHANDLE, screw type, wooden handle",piece,,,,,,,,,,,,,,200
"MURIATIC ACID, 1liter",liter,,,,,,,,,,,,,,250
"PAIL, Plastic, Medium Size",piece,,,,,,,,,,,,,,150
"RAG, all cotton, oval, big (doormat)",piece,,,,,,,,,,,,,,60
"RAG, all cotton, round, small",piece,,,,,,,,,,,,,,2
"SOAP, Liquid, for hands",bottle,,,,,,,,,,,,,,200
"SPIN MOP SET, Microfiber head, with Bucket",set,,,,,,,,,,,,,,"1,500"
"TOILET TISSUE, 2-ply",roll,,,,,,,,,,,,,,20
"TRASHBAG, plastic, black, XL, 10 pcs per pack per roll",roll,,,,,,,,,,,,,,200
"TRASHBIN, big",piece,,,,,,,,,,,,,,400
