item,unit,budget,jan,feb,march,april,may,june,july,aug,sep,oct,nov,dec,price
"INK CART, Epson, T664",set,,,,,,,,,,,,,,"1,300"
"INK CART, Epson, T003",set,,,,,,,,,,,,,,"1,500"
"INK CART, Epson, T003, Cyan",cart,,,,,,,,,,,,,,350
"INK CART, Epson, T003, Magenta",cart,,,,,,,,,,,,,,350
"INK CART, Epson, T003, Yellow",cart,,,,,,,,,,,,,,350
"INK CART, Epson, T003, Black",cart,,,,,,,,,,,,,,350
"INK CART, Epson, C13T03Y200, Cyan",cart,,,,,,,,,,,,,,380
"INK CART, Epson, C13T03Y300, Magenta",cart,,,,,,,,,,,,,,380
"INK CART, Epson, C13T03Y400, Yellow",cart,,,,,,,,,,,,,,380
"INK CART, Epson, C13T03Y100, Black",cart,,,,,,,,,,,,,,600
"TONER CART, HP126A",cart,,,,,,,,,,,,,,250
"TONER CART, Kyocera Toner for 221/220/181/180 (TK-439)",cart,,,,,,,,,,,,,,"3,500"
"TONER CART, Kyocera-TK 4109",cart,,,,,,,,,,,,,,"3,000"
"TONER CART, OPT210A, Black",cart,,,,,,,,,,,,,,"7,000"
"TONER CART, OPT211A, Cyan",cart,,,,,,,,,,,,,,"7,000"
"TONER CART, OPT212A, Yellow",cart,,,,,,,,,,,,,,"3,000"
"TONER CART, OPT212A, Magenda",cart,,,,,,,,,,,,,,"3,300"
"TONER CART, PRISTINE, TN2380 (Free use machine)",cart,,,,,,,,,,,,,,"2,500"
"TONER CART, ORITE, TN-18 (Free use machine)",cart,,,,,,,,,,,,,,"3,500"
