item,unit,budget,jan,feb,march,april,may,june,july,aug,sep,oct,nov,dec,price
"GLUE, all purpose,",jar,0,0,0,0,0,0,0,0,0,0,0,0,0,80
"STAPLE WIRE, heavy duty, binder type, 23/13",box,0,0,0,0,0,0,0,0,0,0,0,0,0,60
"STAPLE WIRE, standard",box,0,0,0,0,0,0,0,0,0,0,0,0,0,50
"TAPE, electrical",roll,0,0,0,0,0,0,0,0,0,0,0,0,0,50
"TAPE, masking, 24mm, 50m",,0,0,0,0,0,0,0,0,0,0,0,0,0,60
"TAPE, MASKING, 48mm, 50m",roll,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"TAPE, packaging, 48mm, 50m",roll,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"TAPE, transparent, 24mm, 50m",roll,0,0,0,0,0,0,0,0,0,0,0,0,0,50
"TAPE, transparent, 48mm, 50m",roll,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"TWINE, plastic",roll,0,0,0,0,0,0,0,0,0,0,0,0,0,100
