item,unit,budget,jan,feb,march,april,may,june,july,aug,sep,oct,nov,dec,price
"CARTOLINA, assorted colors,",pack,0,0,0,0,0,0,0,0,0,0,0,0,0,150
"COMPUTER CONTINUOUS FORM, 1 ply, 280 X 241mm",box,0,0,0,0,0,0,0,0,0,0,0,0,0,882.55
"COMPUTER CONTINUOUS FORM, 1 ply, 280 X 378mm",box,0,0,0,0,0,0,0,0,0,0,0,0,0,1029.6
"COMPUTER CONTINUOUS FORM, 2 ply, 280 X 378mm",box,0,0,0,0,0,0,0,0,0,0,0,0,0,1528.8
"COMPUTER CONTINUOUS FORM, 2 ply, 280 X 241mm",box,0,0,0,0,0,0,0,0,0,0,0,0,0,906.36
"COMPUTER CONTINUOUS FORM, 3 ply, 280 X 241mm",box,0,0,0,0,0,0,0,0,0,0,0,0,0,884
"COMPUTER CONTINUOUS FORM, 3 ply, 280 X 378mm",box,0,0,0,0,0,0,0,0,0,0,0,0,0,1508
"LOOSELEAF COVER, legal",bundle,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
"NOTE PAD, stick on, 50mm x 76mm (2"" x 3"") min",pad,0,0,0,0,0,0,0,0,0,0,0,0,0,38
"NOTE PAD, stick on, 76mm x 100mm (3"" x 4"") min",pad,0,0,0,0,0,0,0,0,0,0,0,0,0,60
"NOTE PAD, stick on, 3"" x 3""",pad,0,0,0,0,0,0,0,0,0,0,0,0,0,55
"NOTEBOOK, stenographer",piece,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"PAPER, MULTICOPY, A4, 80 gsm",reams,0,0,0,0,0,0,0,0,0,0,0,0,0,250
"PAPER, MULTICOPY, Legal, 80gsm",reams,0,0,0,0,0,0,0,0,0,0,0,0,0,280
"PAPER, Multi-Purpose, A4, 70 gsm",reams,0,0,0,0,0,0,0,0,0,0,0,0,0,230
"PAPER, multi-purpose, legal, 70gsm",reams,0,0,0,0,0,0,0,0,0,0,0,0,0,235
"PAD PAPER, ruled",pad,0,0,0,0,0,0,0,0,0,0,0,0,0,25
"PAPER, parchment",box,0,0,0,0,0,0,0,0,0,0,0,0,0,150
"Thermal Paper, 55GSM (-5%) ,1/2 Core, 216mm x 30m",roll,0,0,0,0,0,0,0,0,,0,0,0,0,100
"RECORD BOOK, 300 PAGES, size: 214mm x 278mm min",book,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"RECORD BOOK, 500 PAGES, size: 214mm x 278mm min",book,0,0,0,0,0,0,0,0,0,0,0,0,0,125
"TOILET TISSUE PAPER, 2-ply, 100% recycled",pack,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"TISSUE, interfolded paper towel",pack,0,0,0,0,0,0,0,0,0,0,0,0,0,50
"TOILET TISSUE PAPER, Interfolded Paper Towel",pack,0,0,0,0,0,0,0,0,0,0,0,0,0,50
