item,unit,budget,jan,feb,march,april,may,june,july,aug,sep,oct,nov,dec,price
"DRUM CART, BROTHER DR-3455, Black,",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,947"
"INK CART, BROTHER LC67B, Black",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,910
"INK CART, BROTHER LC67HYBK, Black",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,1601.6
"Drum Cart, Brother DR-451CL,high yield 30000 pages",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,760"
"Toner Cart, Brother TN-456 BLACK, high yield 6500",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,080"
"Toner Cart, Brother TN-456 CYAN, high yield 6500",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,8569.6
"Toner Cart, Brother TN-456 MAGENTA, high yield",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,8569.6
"Toner Cart, Brother TN-456 YELLOW, high yield 6500",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,570"
"TONER CART, SAMSUNG ML-D2850B, Black",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,5116.8
"ENVELOPE, DOCUMENTARY, for legal size document",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,989.04
"INK CART, CANON CL-741,Colored",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,1029.6
"INK CART, CANON CL-811, Colored",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,754
"INK CART, CANON PG-740, Black",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,780
"INK CART, CANON PG-810, Black",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,250
"INK CART, EPSON C13T664100 (T6641), Black",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,250
"INK CART, EPSON C13T664200 (T6642), Cyan",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,250
"INK CART, EPSON C13T664300 (T6643), Magenta",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,250
"INK CART, EPSON C13T664400 (T6644), Yellow",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,773.76
"Ink Cartridge, HP C2P04AA (HP62) Black",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,950.56
"Ink Cartridge, HP C2P06AA (HP62) Tri-color",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,800
"INK CART, HP C9351AA, (HP21), Black",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,950
"INK CART, HP C9352AA, (HP22), Tri-color",cart,0,0,0,0,,0,0,0,0,0,0,0,0,1996.8
"Ink Cartridge, HP C9397A (HP72) 69ml Photo Black",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,1992.8
"Ink Cartridge, HP C9398A (HP72) 69ml Cyan",cart,0,0,0,0,,0,0,0,0,0,0,0,0,1996.8
"Ink Cartridge, HP C9399A (HP72) 69ml Magenta",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,1996.8
"Ink Cartridge, HP C9400A (HP72) 69ml Yellow",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,1996.8
"Ink Cartridge, HP C9401A (HP72) 69ml Gray",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,3016
"Ink Cartridge, HP C9403A (HP72) 130ml Matte Black",cart,0,0,0,0,,0,0,0,0,0,0,0,0,769.6
"INK CART, HP CC640WA, (HP60), Black",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,915.2
"INK CART, HP CC643WA, (HP60), Tri-color",cart,0,0,0,0,0,0,0,0,,0,0,0,0,450
"INK CART, HP CD887AA, (HP703), Black",cart,0,0,0,0,,0,0,0,0,0,0,0,0,450
"INK CART, HP CD888AA, (HP703), Tri-color",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,641.68
"INK CART, HP CD972AA, (HP 920XL), Cyan",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,641.68
